source,target
/categoria-producto/sin-categorizar/,https://vinacasaacosta.cl/es/tienda
/categoria-producto/tannat/,https://vinacasaacosta.cl/es/tienda
/etiqueta-producto/carmenere/,https://vinacasaacosta.cl/es/tienda
/etiqueta-producto/rose/,https://vinacasaacosta.cl/es/tienda
/producto/ombu-reserva-carmenere/,https://vinacasaacosta.cl/es/vinos/ombu-carmenere
/producto/ombu-reserva-carmenere-2017/,https://vinacasaacosta.cl/es/vinos/ombu-carmenere
/producto/ombu-reserva-carmenere-2018/,https://vinacasaacosta.cl/es/vinos/ombu-carmenere
/producto/ombu-reserva-carmenere-2019/,https://vinacasaacosta.cl/es/vinos/ombu-carmenere
/producto/ombu-reserva-carmenere-2020-caja-de-6-unidades/,https://vinacasaacosta.cl/es/vinos/ombu-carmenere
/producto/ombu-reserva-carmenere-2021/,https://vinacasaacosta.cl/es/vinos/ombu-carmenere
/producto/ombu-gran-reserva-carmenere-2015/,https://vinacasaacosta.cl/es/vinos/ombu-carmenere
/producto/ombu-reserva-cabernet-sauvignon-2020-caja-de-6-unidades/,https://vinacasaacosta.cl/es/vinos/ombu-sauvignon
/producto/ombu-reserva-cabernet-sauvignon-2021-caja-de-6-unidades/,https://vinacasaacosta.cl/es/vinos/ombu-sauvignon
/producto/bera-rose-reserva-carmenere-2021-caja-de-6-unidades/,https://vinacasaacosta.cl/es/vinos/bera
/producto/estacion-francia-gran-reserva-carmenere-2019-caja-de-6-unidades/,https://vinacasaacosta.cl/es/vinos/estacion-francia-carmenere
/producto/guidai-brut-espumante-caja-de-6-unidades/,https://vinacasaacosta.cl/es/vinos/guidai
/product/cabernet/,https://vinacasaacosta.cl/es/vinos/ombu-sauvignon
/product/ombu-carmenere/,https://vinacasaacosta.cl/es/vinos/ombu-carmenere
/producto/ombu-ensamblaje-reserva-carmenere-cabernet-sauvignon-petit-verdot-2020-caja-de-6-unidades/,https://vinacasaacosta.cl/es/vinos
/producto/ombu-ensamblaje-reserva-carmenere-tannat-2020-caja-de-6-unidades/,https://vinacasaacosta.cl/es/vinos
/producto/ombu-ensamblaje-reserva-carmenere-tannat-2021-caja-de-6-unidades/,https://vinacasaacosta.cl/es/vinos
/producto/arma-tu-caja-mix/,https://vinacasaacosta.cl/es/tienda
/producto/caja-acosta-mix-2/,https://vinacasaacosta.cl/es/tienda
/producto/caja-regalo-multiproposito-x-1/,https://vinacasaacosta.cl/es/tienda
/producto/caja-regalo-multiproposito-x-1-2/,https://vinacasaacosta.cl/es/tienda
/producto/caja-regalo-multiproposito-x-2/,https://vinacasaacosta.cl/es/tienda
/producto/caja-regalo-multiproposito-x-3/,https://vinacasaacosta.cl/es/tienda
/producto/ombu-familia-caja-de-6-unidades/,https://vinacasaacosta.cl/es/tienda
